id,name
30090210,"redwood
bluesource
maintenance
presentation
mock
api
"
30090212,"redwood
bluesource
submission
mock
api
"
30090209,"redwood
bluesource
enrollment
presentation
mock
api
"
30090208,"redwood
bluesource
binder
portal
audience
mock
api
"
30090206,"hestia
control
center
sprint
approver
admin
table
row
style
update
"
30090204,"topcoder
update
preference
page
"
30090605,"vulnerability
fix
exposure
data
predictor
submission
"
30090167,"redwood
bluesource
enrollment
intake
controller
mock
api
"
30090168,"redwood
bluesource
enrollment
mock
api
"
30090053,"topcoder
direct
project
service
update
token
support
"
30090056,"topcoder
fix
challenge
listing
"
30089841,"topcoder
project
service
create
db
endpoint
"
30088971,"quartz
energy
mud
log
update
image
tag
tool
"
30089708,"topcoder
project
service
milestone
"
30089700,"hestia
control
center
sprint
layout
fix
"
30089705,"hestia
control
center
sprint
functional
fix
"
30089478,"topcoder
autopilot
issue
fix
illegalargumentexception
ratingtype
null
"
30089484,"topcoder
connect
post
attachment
frontend
challenge
"
30089229,"hepius
control
chart
frontend
performance
improvement
"
30089228,"hepius
control
chart
frontend
fix
part
"
30089095,"topcoder
message
service
improve
access
control
"
30089018,"topcoder
connect
use
evaluate
function
npm
"
30089011,"update
pagination
layout
"
30088993,"abb
rcs
angular
prototype
bug
fix
"
30089000,"rtc
data
quality
frontend
update
"
30088961,"hepius
control
chart
rest
api
bug
fix
"
30089965,"checkpoint
prize
"
30089964,"checkpoint
prize
"
30089963,"checkpoint
prize
"
30089856,"srm
misof
"
30089860,"round
"
30089859,"round
"
30089857,"srm
"
30088894,"enhance
multiple
row
copy
paste
feature
edit
record
page
fix
layout
issue
"
30089045,"topcoder
home
prototype
tab
block
fix
challenge
"
30088832,"topcoder
connect
list
post
link
"
30089311,"srm
"
30088817,"topcoder
member
service
check
email
exist
es
"
30089060,"fta
react
app
ui
element
"
30088714,"topcoder
connect
add
flag
"
30089310,"srm
misof
"
30089309,"srm
"
30089308,"mm
payment
wleite
"
30089307,"mm
"
30088775,"topcoder
connect
wizard
skip
empty
"
30088679,"topcoder
handle
"
30088680,"topcoder
member
service
check
new
email
already
use
"
30088606,
30089036,"round
"
30089037,"round
"
30088499,"sld
editor
bug
fix
global
function
expose
json
"
30088683,"documentation
topcoder
payment
process
"
30088453,"investlab
branding
change
v
"
30088321,"topcoder
online
review
fix
runtime
error
"
30088320,"topcoder
project
service
product
templates
use
form
"
30088319,"topcoder
connect
npm
package
evaluate
function
"
30088315,"topcoder
connect
create
json
schema
"
30088021,"topcoder
direct
application
download
fix
"
30088785,"srm
editorial
adamant
"
30088185,"sld
editor
bug
fix
rc
sld
view
"
30088168,"cp
investlab
branding
change
iv
"
30088145,"fta
react
app
ui
element
"
30088622,"srm
"
30088621,"srm
misof
"
30088613,"insomnia
round
"
30088615,"insomnia
round
adamant
"
30088616,"insomnia
round
vasyl
alphacom
"
30088617,"insomnia
round
editorial
adamant
"
30088610,"prototype
design
copilot
"
30088063,"cp
investlab
branding
change
"
30087876,"srm
adamant
"
30087963,"hestia
control
center
api
definition
challenge
part
"
30087493,"horizon
web
react
mock
api
integration
"
30087923,"sld
editor
bug
fix
"
30087922,"sld
editor
bug
fix
"
30087928,"cp
investlab
branding
change
ii
"
30087929,"cp
investlab
branding
change
sub
distributor
screen
iii
"
30088485,"topcoder
home
prototype
fix
challenge
"
30087854,"topcoder
update
password
change
form
"
30087767,"task
"
30087816,"tc
improve
exist
access
deny
page
"
30088197,"humblefool
cup
payment
"
30088195,"humblefool
cup
payment
misof
"
30088196,"humblefool
cup
payment
"
30088194,"humblefool
cup
payment
"
30088356,"copilot
payment
first
round
test
"
30087249,"topcoder
online
review
final
fix
submission
issue
fix
"
30087738,"fa
cr
"
30087596,"topcoder
fix
test
topcoder
react
lib
"
30087587,"hercules
devportal
app
convert
image
html
"
30087574,"cucumber
test
case
automation
gherkin
script
generator
tool
improvement
"
30087244,"hestia
control
center
api
definition
challenge
"
30087528,"topcoder
project
service
improve
query
"
30087518,"topcoder
project
service
milestone
limit
"
